BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,10273,9099,10958,9517,,,,,,,,,39847,POINT (-87.70349402299996 41.92508501100008)
Roden,6083 N. Northwest Hwy.,Chicago,60631,4708,4607,5773,4692,,,,,,,,,19780,POINT (-87.79802001399997 41.99215398300004)
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,0,0,0,0,,,,,,,,,0,POINT (-87.79731647599993 41.921091352000076)
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,3168,2993,3190,2826,,,,,,,,,12177,POINT (-87.78619901599996 41.936736988000064)
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,8392,8117,9189,8221,,,,,,,,,33919,POINT (-87.68035200799994 41.91256001700003)
North Pulaski,4300 W. North Ave.,Chicago,60639,1316,1027,1389,1184,,,,,,,,,4916,POINT (-87.73398202299995 41.91014301100006)
McKinley Park,1915 W. 35th St.,Chicago,60609,2620,2626,3697,2742,,,,,,,,,11685,POINT (-87.67359300899994 41.83017198500005)
,,,,,,,1128530,,,,,,,,,4516490,
Downloadable Media,,,,269855,242473,263908,254544,,,,,,,,,1030780,
West Pullman,830 W. 119th St.,Chicago,60643,845,783,851,846,,,,,,,,,3325,POINT (-87.64309696299995 41.678082017000065)
Beverly,1962 W. 95th St.,Chicago,60643,3252,3380,3769,2895,,,,,,,,,13296,POINT (-87.67214897399998 41.721352000000024)
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,616,530,800,722,,,,,,,,,2668,POINT (-87.72527699699998 41.87931500000008)
Toman,2708 S. Pulaski Rd.,Chicago,60623,1955,1687,2037,1922,,,,,,,,,7601,POINT (-87.72487298899995 41.84206699600003)
Austin,5615 W. Race Ave.,Chicago,60644,690,615,812,842,,,,,,,,,2959,POINT (-87.76581397599995 41.88902598000004)
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,658,683,834,1038,,,,,,,,,3213,POINT (-87.70250403699998 41.73764801200008)
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,5079,5029,6075,4961,,,,,,,,,21144,POINT (-87.76198696699998 41.96736198900004)
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,2433,2421,3050,2494,,,,,,,,,10398,POINT (-87.73819501899999 41.96839200000005)
