BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,1302,1552,1980,1826,1446,1715,1594,1623,1446,1441,1508,1388,18821,POINT (-87.7381 41.96812)
Back of the Yards,2111 W. 47th St.,Chicago,60609,1440,1689,2689,2942,2729,2933,2717,2943,2816,3508,2576,2276,31258,POINT (-87.67763 41.80849)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,2985,4007,4777,5025,4666,4188,5093,4747,3630,3639,3029,1950,47736,POINT (-87.58584 41.74633)
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,3101,3642,4957,4893,4326,5147,5029,5149,4840,5656,5303,3944,55987,POINT (-87.77944 41.95301)
Merlo,644 W. Belmont Ave.,Chicago,60657,4605,7379,10016,9522,9188,15221,8547,8701,7799,10197,12420,6551,110146,POINT (-87.64627 41.94004)
Archer Heights,5055 S. Archer Ave.,Chicago,60632,2949,2360,3250,3169,2896,4950,3198,3390,3329,4599,5054,2703,41847,POINT (-87.72663 41.8007)
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,13873,15111,19899,18966,17119,14966,18748,19294,18776,21154,20568,16373,214847,POINT (-87.68467 41.96267)
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,477,2056,3315,2875,3574,3276,3601,3442,3310,3346,3196,2539,35007,POINT (-87.72561 41.87932)
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,2301,3072,3987,3828,3466,5573,4058,4024,3335,4621,5254,3156,46675,POINT (-87.7547 41.93873)
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1417,1164,1631,1874,1817,3609,1048,1401,2117,5210,6950,1410,29648,POINT (-87.70209 41.73837)
Vodak-East Side,3710 E. 106th St.,Chicago,60617,2007,2718,3749,4378,3420,3343,4703,4355,3761,4074,3700,2844,43052,POINT (-87.53351 41.70274)
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,5015,5954,7115,7525,6111,11320,8472,8434,8088,7620,7122,3317,86093,POINT (-87.68036 41.91225)
Near North,310 W. Division St.,Chicago,60610,4771,5815,4707,0,0,0,0,7086,10148,12716,9813,5974,61030,POINT (-87.63663 41.90379)
Dunning,7455 W. Cornelia Ave.,Chicago,60634,4240,5603,6706,5857,6394,5177,7638,6869,6169,6495,5513,5443,72104,POINT (-87.81368 41.94307)
Brighton Park,4314 S. Archer Ave.,Chicago,60632,1250,1727,2959,3207,2356,3090,2871,3264,3017,3270,3264,2681,32956,POINT (-87.70303 41.81483)
