tract,county,geo_id,census_name,total_no_income,total_with_income,total_with_income_level1,total_with_income_level2,total_with_income_level3,total_with_income_level4,total_with_income_level5,total_with_income_level6,total_with_income_level7,total_with_income_level8,median_income,state_x,total_population,total_male,total_female,under_5_years,median_age,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,perc_hh_w_children,avg_household_size,avg_family_size,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,unemployment_rate,work_from_home,median_hh_income_d,average_hh_income_d,hh_social_security,hh_foodstamps_snap,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,occupied_units,occupied_units_owner,occupied_units_no_vehicle,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,occupied_median_rent_d,state_y
005102,113,1400000US17113005102,"Census Tract 51.02, McLean County, Illinois",38,28,63,77,170,70,68,92,63,93,101473,17,6971,3390,3581,430,44.2,5267,1340,6587,133,0,172,0,18,61,83,3066,2741,31.2,2.54,2.96,6971,1967,1689,1973,6839,132,6413,32,2741,2677,2499,1.4,205,101473,127656,958,142,50372,4.4,5.2,2741,2400,118,1662,614,94,76,762,17
005103,113,1400000US17113005103,"Census Tract 51.03, McLean County, Illinois",24,0,0,0,0,11,21,19,0,41,177073,17,5220,2693,2527,635,39.3,3583,694,3873,321,0,942,0,0,84,96,1605,1566,48.3,3.33,3.46,5220,2142,1506,2391,4568,652,3865,136,1566,1566,1530,0.7,565,177073,244011,335,21,72253,0.7,1.1,1566,1502,15,2477,1095,31,0,-666666666,17
005104,113,1400000US17113005104,"Census Tract 51.04, McLean County, Illinois",72,28,17,79,0,33,13,33,13,130,90591,17,4771,2399,2372,308,34.3,3553,349,2647,204,27,1749,0,0,144,198,2061,1989,42.8,2.40,2.87,4771,1480,1350,1891,3170,1601,3155,551,1989,1930,1735,5.3,442,90591,107377,342,26,44583,2.0,4.6,1989,1054,124,1878,698,85,31,1076,17
005201,113,1400000US17113005201,"Census Tract 52.01, McLean County, Illinois",34,5,0,18,3,0,4,3,16,29,113333,17,954,497,457,66,51.3,773,222,899,23,0,10,0,0,22,0,422,398,24.4,2.40,2.81,954,249,152,359,927,27,864,4,398,390,385,1.5,53,113333,113255,130,15,47060,9.8,8.1,398,385,20,1707,703,44,5,-666666666,17
005202,113,1400000US17113005202,"Census Tract 52.02, McLean County, Illinois",38,27,7,30,23,26,59,69,27,139,76625,17,3001,1390,1611,222,36.9,2236,452,2625,125,3,35,0,21,192,28,1212,1131,33.6,2.65,3.11,3001,1000,661,708,2950,51,2728,40,1131,1099,1045,2.6,127,76625,99975,270,79,36696,4.3,6.5,1131,989,11,1545,586,120,53,984,17
005401,113,1400000US17113005401,"Census Tract 54.01, McLean County, Illinois",96,3,2,4,7,19,66,58,9,120,136429,17,6808,3337,3471,406,36.7,4518,878,6274,140,0,226,0,8,160,263,2288,2234,50.1,3.05,3.41,6808,2635,2036,2331,6571,237,6137,55,2234,2156,2067,0.7,591,136429,152840,425,34,49518,2.1,3.9,2234,2005,24,2205,670,147,95,1163,17
005402,113,1400000US17113005402,"Census Tract 54.02, McLean County, Illinois",131,9,33,9,46,28,34,23,42,107,89931,17,3686,1795,1891,162,39.0,2615,589,3606,0,0,9,0,30,41,123,1383,1317,39.3,2.80,3.25,3686,1295,1112,902,3657,29,3441,26,1317,1174,1154,2.6,213,89931,96164,290,97,34474,5.3,8.5,1317,1110,59,1667,682,64,45,916,17
005501,113,1400000US17113005501,"Census Tract 55.01, McLean County, Illinois",48,49,48,11,79,16,0,30,82,34,75798,17,2275,1208,1067,141,42.6,1816,416,2225,0,0,0,0,0,50,0,968,920,23.7,2.47,2.78,2275,553,422,397,2264,11,2118,0,920,871,843,6.5,114,75798,82730,255,64,33843,8.4,13.7,920,737,50,1351,552,120,59,674,17
005502,113,1400000US17113005502,"Census Tract 55.02, McLean County, Illinois",45,29,7,3,40,61,56,10,34,34,90417,17,2387,1114,1273,63,42.8,1813,458,2376,0,2,0,0,9,0,0,978,961,35.6,2.42,3.11,2326,704,687,568,2381,6,2304,8,961,902,864,2.5,124,90417,112640,201,42,45956,6.5,7.6,961,835,29,1261,527,56,17,774,17
005601,113,1400000US17113005601,"Census Tract 56.01, McLean County, Illinois",26,22,14,5,18,23,45,43,54,62,61957,17,1918,918,1000,128,36.7,1357,354,1838,0,1,0,0,22,57,114,764,660,35.8,2.85,3.16,1880,598,565,274,1895,23,1777,0,660,620,531,6.3,70,61957,88040,180,112,31514,5.1,8.8,660,514,12,1182,517,56,3,837,17
