geoid,qualifying name,Percent: 25+ Less Than High School,Percent: 25+ High School or More,Percent: 25+ Some College or More,Percent: 25+ Bachelor's Degree or More,Percent: 25+ Master's Degree or More,Percent: 25+ Professional School Degree or More,Percent: 25+ Doctorate Degree
17031461000,"Census Tract 4610, Cook County, Illinois",0.30533596837944665,0.6946640316205533,0.3221343873517787,0.10375494071146245,0.05039525691699605,0.0,0.0
17031440900,"Census Tract 4409, Cook County, Illinois",0.12276906435911303,0.8772309356408869,0.597079502433748,0.43645213628988644,0.17847485127095727,0.03948080043266631,0.02163331530557058
17031480300,"Census Tract 4803, Cook County, Illinois",0.046858359957401494,0.9531416400425985,0.7763578274760383,0.34611288604898827,0.09584664536741214,0.0,0.0
17031480400,"Census Tract 4804, Cook County, Illinois",0.030439952437574316,0.9695600475624256,0.7888228299643282,0.4656361474435196,0.21355529131985732,0.023067776456599288,0.012604042806183116
17031470100,"Census Tract 4701, Cook County, Illinois",0.14530776992936428,0.8546922300706358,0.5020181634712412,0.18768920282542886,0.08879919273461151,0.004540867810292634,0.0
17031480500,"Census Tract 4805, Cook County, Illinois",0.07884972170686456,0.9211502782931354,0.5923005565862709,0.2481447124304267,0.1396103896103896,0.010667903525046383,0.010667903525046383
17031440800,"Census Tract 4408, Cook County, Illinois",0.11017661900756939,0.8898233809924306,0.5332211942809083,0.15138772077375945,0.03280067283431455,0.002523128679562658,0.0
17031833900,"Census Tract 8339, Cook County, Illinois",0.28226363008971705,0.717736369910283,0.3857832988267771,0.14078674948240166,0.016563146997929608,0.005521048999309869,0.005521048999309869
17031730400,"Census Tract 7304, Cook County, Illinois",0.1522100365569957,0.8477899634430043,0.6114988368228648,0.28215353938185445,0.08806912595546693,0.017613825191093387,0.013625789298770355
17031730300,"Census Tract 7303, Cook County, Illinois",0.13971539456662355,0.8602846054333765,0.5575679172056921,0.13971539456662355,0.03234152652005175,0.0,0.0
17031730201,"Census Tract 7302.01, Cook County, Illinois",0.11019210245464248,0.8898078975453575,0.5562966915688368,0.15635005336179295,0.05816435432230523,0.006937033084311633,0.006670224119530417
17031720100,"Census Tract 7201, Cook County, Illinois",0.023582766439909298,0.9764172335600907,0.8975056689342403,0.691609977324263,0.4018140589569161,0.09795918367346938,0.048072562358276644
17031711400,"Census Tract 7114, Cook County, Illinois",0.09696609161213564,0.9030339083878643,0.5032718619869125,0.13444378346222485,0.027364663890541343,0.0,0.0
17031711300,"Census Tract 7113, Cook County, Illinois",0.13408723747980614,0.8659127625201939,0.5848142164781907,0.15266558966074315,0.06058158319870759,0.009693053311793215,0.009693053311793215
17031711100,"Census Tract 7111, Cook County, Illinois",0.13463626492942454,0.8653637350705755,0.6281216069489685,0.22421281216069489,0.08849077090119435,0.019001085776330078,0.019001085776330078
17031711200,"Census Tract 7112, Cook County, Illinois",0.14554794520547945,0.8544520547945206,0.6195776255707762,0.1983447488584475,0.08047945205479452,0.01797945205479452,0.006563926940639269
17031710500,"Census Tract 7105, Cook County, Illinois",0.13142857142857142,0.8685714285714285,0.5897959183673469,0.19510204081632654,0.04857142857142857,0.0,0.0
17031710600,"Census Tract 7106, Cook County, Illinois",0.1728024042073629,0.8271975957926371,0.4492862509391435,0.14650638617580766,0.03456048084147258,0.0,0.0
17031440700,"Census Tract 4407, Cook County, Illinois",0.06182531894013739,0.9381746810598626,0.7664376840039254,0.36702649656526004,0.18547595682041218,0.04317958783120707,0.03925417075564279
17031480200,"Census Tract 4802, Cook County, Illinois",0.03926096997690531,0.9607390300230947,0.8071593533487298,0.3741339491916859,0.07390300230946882,0.0,0.0
17031480100,"Census Tract 4801, Cook County, Illinois",0.07075767063243582,0.9292423293675642,0.691296180338134,0.3024420788979336,0.11333750782717596,0.008140262993112084,0.0031308703819661866
17031460800,"Census Tract 4608, Cook County, Illinois",0.3240302743614002,0.6759697256385998,0.347682119205298,0.1532639545884579,0.03784295175023652,0.0004730368968779565,0.0004730368968779565
17031460301,"Census Tract 4603.01, Cook County, Illinois",0.33876719307182884,0.6612328069281712,0.3769740193581253,0.11360163015792155,0.04381049414161997,0.0,0.0
17031460200,"Census Tract 4602, Cook County, Illinois",0.31855604813172894,0.681443951868271,0.4635845471817606,0.11526282457251424,0.058264724509183026,0.018999366687777075,0.0
17031440202,"Census Tract 4402.02, Cook County, Illinois",0.09721543722520762,0.9027845627747924,0.7049340498290181,0.3180263800683928,0.09330727894479726,0.006839276990718124,0.0009770395701025891
17031440102,"Census Tract 4401.02, Cook County, Illinois",0.1347227391142538,0.8652772608857462,0.5574990695943431,0.21920357275772237,0.03870487532564198,0.005210271678451805,0.005210271678451805
17031450300,"Census Tract 4503, Cook County, Illinois",0.18141414141414142,0.8185858585858586,0.5503030303030303,0.20323232323232324,0.0993939393939394,0.0032323232323232323,0.0
17031460400,"Census Tract 4604, Cook County, Illinois",0.06525157232704402,0.934748427672956,0.559748427672956,0.1985062893081761,0.08254716981132075,0.009040880503144654,0.002751572327044025
17031440600,"Census Tract 4406, Cook County, Illinois",0.09027777777777778,0.9097222222222222,0.6766975308641975,0.3148148148148148,0.09722222222222222,0.005401234567901234,0.005401234567901234
17031711500,"Census Tract 7115, Cook County, Illinois",0.13064259160913436,0.8693574083908656,0.49123738714816784,0.13170472650026555,0.04248539564524695,0.0,0.0
17031711000,"Census Tract 7110, Cook County, Illinois",0.1133384734001542,0.8866615265998458,0.40593677717810334,0.10601387818041634,0.04279105628373169,0.007324595219737857,0.007324595219737857
17031842400,"Census Tract 8424, Cook County, Illinois",0.11323210412147505,0.8867678958785249,0.6976138828633406,0.36399132321041217,0.07592190889370933,0.026030368763557483,0.004772234273318872
17031710900,"Census Tract 7109, Cook County, Illinois",0.11750972762645914,0.8824902723735408,0.556420233463035,0.2396887159533074,0.09182879377431907,0.0,0.0
17031440300,"Census Tract 4403, Cook County, Illinois",0.09306078536847767,0.9069392146315223,0.7963959117805272,0.3698224852071006,0.2202797202797203,0.07046799354491662,0.014523937600860678
17031710800,"Census Tract 7108, Cook County, Illinois",0.19437577255871447,0.8056242274412856,0.4480840543881335,0.13288009888751545,0.08467243510506799,0.0,0.0
17031710100,"Census Tract 7101, Cook County, Illinois",0.08486562942008487,0.9151343705799151,0.49363507779349364,0.12022630834512023,0.018387553041018388,0.0,0.0
